country;education_expenditure;youth_unemployment_rate;net_migration_rate;iso_code;region;income_group;lending_category;name;alpha.2;alpha.3;country.code;iso_3166.2;continent;sub.region;intermediate.region;region.code;sub.region.code;intermediate.region.code
178;.;.;Albania;.;.;.;.;Congo;CG;COG;178;ISO 3166-2:CG;Africa;Sub-Saharan Africa;Middle Africa;2;202;17
179;.;.;Gibraltar;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
180;.;.;Kuwait;.;.;.;.;Congo (Democratic Republic Of The);CD;COD;180;ISO 3166-2:CD;Africa;Sub-Saharan Africa;Middle Africa;2;202;17
181;.;.;Rwanda;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
182;.;.;Venezuela;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
183;.;.;Uganda;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
184;.;.;Cuba;.;.;.;.;Cook Islands;CK;COK;184;ISO 3166-2:CK;Oceania;Polynesia;;9;61;.
185;.;.;Guinea-Bissau;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
186;.;.;Somalia;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
187;.;.;Mali;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
188;.;.;Timor-Leste;.;.;.;.;Costa Rica;CR;CRI;188;ISO 3166-2:CR;Americas;Latin America and the Caribbean;Central America;19;419;13
189;.;.;West;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
190;.;.;Turkey;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
191;.;.;Wallis;.;.;.;.;Croatia;HR;HRV;191;ISO 3166-2:HR;Europe;Southern Europe;;150;39;.
192;.;.;Marshall;.;.;.;.;Cuba;CU;CUB;192;ISO 3166-2:CU;Americas;Latin America and the Caribbean;Caribbean;19;419;29
193;.;.;Gaza;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
194;.;.;El;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
195;.;.;Montenegro;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
196;.;.;Kyrgyzstan;.;.;.;.;Cyprus;CY;CYP;196;ISO 3166-2:CY;Asia;Western Asia;;142;145;.
197;.;.;Zimbabwe;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
198;.;.;Dominica;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
199;.;.;Trinidad;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
200;.;.;Armenia;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
201;.;.;Latvia;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
202;.;.;Lithuania;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
203;.;.;Greenland;.;.;.;.;Czech Republic;CZ;CZE;203;ISO 3166-2:CZ;Europe;Eastern Europe;;150;151;.
204;.;.;Saint;.;.;.;.;Benin;BJ;BEN;204;ISO 3166-2:BJ;Africa;Sub-Saharan Africa;Western Africa;2;202;11
205;.;.;Lesotho;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
206;.;.;Fiji;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
207;.;.;Tuvalu;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
208;.;.;Eswatini;.;.;.;.;Denmark;DK;DNK;208;ISO 3166-2:DK;Europe;Northern Europe;;150;154;.
209;.;.;Saint;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
